category,datetime,headline,id,image,related,source,summary,url
company,2023-06-20 18:52:00,American Electric Power Co. Inc. stock outperforms competitors despite losses on the day,120964588,https://images.mktw.net/im-220105/social,AEP,MarketWatch,"Shares of American Electric Power Co. Inc. slipped 0.46% to $84.54 Tuesday, on what proved to be an all-around dismal trading session for the stock market,...",https://finnhub.io/api/news?id=f7f8f0c205f6c773f2976490e6ed66c0795c8aa6e64128d34c9d50b56302ca93
company,2023-06-20 09:48:00,Jim Cramer Deems This 5% Yield Stock 'Too Risky For Me': He Prefers These 2 Alternatives,120956473,,AEP,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=4de11b3cdf6edb1d21b8cbb3564910267174606324c4e8c830580c3ef05e25f5
company,2023-06-20 07:05:00,ERCOT asks Texans to limit electricity use with demand predicted to hit record,120965470,,AEP,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=f8611c8a406fe34cb285e2db92dad66f6487d2091c54d175614cdc162ce111dc
company,2023-06-20 06:41:51,FUTY: Utilities Dashboard For June,120953382,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1317320827/image_1317320827.jpg?io=getty-c-w1536,AEP,SeekingAlpha,Fidelity MSCI Utilities Index ETF is a good instrument with cheap fees for investors seeking capital-weighted exposure in utilities. Click here to see why FUTY is a Hold.,https://finnhub.io/api/news?id=d6d8dd0d9d375172a35cbb9ca4d15a50946acba062ea73d53f09047a227efe8a
company,2023-06-22 18:51:00,"American Electric Power Co. Inc. stock falls Thursday, underperforms market",121010375,https://images.mktw.net/im-220105/social,AEP,MarketWatch,"Shares of American Electric Power Co. Inc. dropped 0.41% to $85.10 Thursday, on what proved to be an all-around mixed trading session for the stock market,...",https://finnhub.io/api/news?id=a404162826099177e2b681d6b2b1e3a9c0b8528faf190dde6a37c3e64134814d
company,2023-06-22 13:46:00,"Blackstone Injects $1B More Into Invenergy, Raising Total Stake To $4B To Propel Business Initiatives",121003879,,AEP,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=879522c05f942952f03383a19dfd46c62fa61f3f427e358209194a7f05aae8c1
company,2023-06-21 18:52:00,American Electric Power Co. Inc. stock underperforms Wednesday when compared to competitors despite daily gains,120993041,https://images.mktw.net/im-220105/social,AEP,MarketWatch,"Shares of American Electric Power Co. Inc. rose 1.08% to $85.45 Wednesday, on what proved to be an all-around dismal trading session for the stock market,...",https://finnhub.io/api/news?id=4a2d785a54304f004499b3f980ddb1482e8c8a8199b72a8a2e16b62bb6a5dd41
company,2023-06-23 18:51:00,"American Electric Power Co. Inc. stock falls Friday, underperforms market",121076818,https://images.mktw.net/im-220105/social,AEP,MarketWatch,"Shares of American Electric Power Co. Inc. shed 1.89% to $83.49 Friday, on what proved to be an all-around dismal trading session for the stock market, with...",https://finnhub.io/api/news?id=37fb40c6a409d2052604834527d81f3784067098f885f9887089218f819e181a
company,2023-06-23 12:36:00,P/E Ratio Insights for American Electric Power,121020864,,AEP,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=a4ecab050583865766c9838abab2b1a9cfbffae1cb7943e157cd666d7499a325
company,2023-06-23 12:04:00,Where American Electric Power Stands With Analysts,121020865,,AEP,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=661d6149dcecdb482410df26af699fe8ac82c1de30ffd8f593631e42b1ceb786
company,2023-06-23 11:51:00,What Does American Electric Power's Debt Look Like?,121020866,,AEP,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=943a86d3f26855bc4957f10d08d0b3dd19fbdd949a832dc5b9b2f693f68bb59e
